iter	Passed	Remaining
188	483	2074
189	485	2068
190	487	2064
191	489	2058
192	490	2052
193	493	2049
194	495	2045
195	497	2038
196	498	2033
197	500	2029
198	502	2023
199	504	2018
200	506	2012
201	507	2006
202	509	2000
203	511	1994
204	513	1989
205	514	1983
206	516	1979
207	518	1973
208	519	1967
209	521	1962
210	523	1956
211	524	1950
212	526	1945
213	528	1940
214	530	1935
215	531	1930
216	533	1925
217	535	1919
218	536	1914
219	538	1909
220	540	1904
221	541	1899
222	543	1895
223	546	1893
224	548	1888
225	550	1884
226	551	1878
227	553	1873
228	555	1869
229	556	1864
230	558	1859
231	561	1857
232	562	1853
233	564	1848
234	566	1844
235	568	1840
236	570	1835
237	571	1830
238	573	1825
239	575	1822
240	577	1818
241	578	1813
242	580	1808
243	582	1804
244	584	1800
245	585	1796
246	587	1791
247	589	1787
248	591	1783
249	592	1778
250	594	1774
251	596	1769
252	597	1765
253	599	1760
254	601	1756
255	603	1752
256	605	1749
257	606	1745
258	608	1741
259	610	1737
260	612	1733
261	613	1729
262	615	1725
263	617	1722
264	619	1719
265	621	1715
266	623	1711
267	624	1706
268	626	1702
269	628	1699
270	630	1695
271	631	1691
272	633	1686
273	635	1684
274	637	1680
275	639	1676
276	640	1672
277	644	1673
278	646	1669
279	647	1666
280	650	1663
281	652	1661
282	654	1658
283	656	1655
284	658	1653
285	660	1649
286	662	1646
287	665	1645
288	667	1643
289	669	1640
290	671	1637
291	674	1634
292	676	1631
293	678	1628
294	680	1627
295	682	1623
296	685	1623
297	687	1620
298	690	1617
299	692	1614
300	694	1613
301	697	1611
302	699	1608
303	701	1605
304	703	1602
305	705	1599
306	707	1597
307	710	1595
308	712	1593
309	716	1594
310	720	1597
311	728	1605
312	731	1604
313	733	1603
314	736	1602
315	740	1603
316	749	1615
317	752	1613
318	756	1614
319	767	1630
320	770	1630
321	776	1634
322	778	1632
323	781	1630
324	784	1628
325	789	1631
326	792	1630
327	795	1629
328	799	1631
329	804	1633
330	807	1632
331	810	1631
332	815	1633
333	819	1633
334	826	1639
335	830	1640
336	834	1641
337	836	1638
338	838	1635
339	840	1631
340	842	1628
341	844	1624
342	846	1621
343	848	1618
344	851	1616
345	854	1614
346	856	1612
347	859	1610
348	864	1613
349	868	1612
350	871	1610
351	873	1608
352	875	1605
353	879	1604
354	881	1601
355	884	1599
356	888	1601
357	892	1600
358	894	1597
359	897	1595
360	901	1595
361	903	1591
362	905	1588
363	908	1586
364	909	1583
365	911	1579
366	914	1576
367	916	1573
368	918	1570
369	920	1567
370	923	1565
371	925	1562
372	928	1561
373	931	1558
374	934	1557
375	939	1559
376	942	1557
377	945	1556
378	949	1555
379	953	1556
380	958	1557
381	969	1568
382	976	1572
383	980	1573
384	985	1574
385	989	1574
386	993	1573
387	996	1571
388	1003	1575
389	1006	1574
390	1011	1575
391	1016	1576
392	1019	1574
393	1022	1572
394	1026	1571
395	1030	1571
396	1033	1570
397	1037	1569
398	1041	1569
399	1045	1568
400	1049	1567
401	1052	1565
402	1054	1561
403	1058	1561
404	1061	1560
405	1098	1607
406	1104	1608
407	1136	1648
408	1139	1646
409	1142	1644
410	1146	1642
411	1149	1640
412	1153	1639
413	1156	1637
414	1177	1659
415	1185	1664
416	1189	1662
417	1191	1659
418	1195	1657
419	1198	1655
420	1201	1652
421	1204	1650
422	1207	1646
423	1209	1643
424	1213	1641
425	1216	1639
426	1218	1635
427	1221	1632
428	1224	1629
429	1226	1625
430	1229	1622
431	1231	1619
432	1234	1616
433	1238	1615
434	1240	1611
435	1244	1610
436	1248	1608
437	1250	1605
438	1253	1601
439	1256	1598
440	1259	1596
441	1263	1594
442	1266	1592
443	1268	1589
444	1272	1587
445	1275	1584
446	1278	1581
